FID,nombre,cod_depend,cod_tramo,cod_tipo_d,cod_estado,id_gestor,cod_munici,direccion,codigo_pos,cod_titula,utm_x,utm_y,v_desde,id_provinc,prec_geom,dependenci,dependen_1,dependen_2,dependen_3,dependen_4,dependen_5,dependen_6,dependen_7,dependen_8,dependen_9,geom
Dependencias.2418,FUENTES OÑORO-FRONTERA,C3308,011200095,K,EX,AM,,,,AV,176280.3601,4502027.7104,17,37,0,AM,K,EX,37,0,0,AV,011200095,FUENTES OÑORO-FRONTERA,0,POINT (176280.36010000017 4502027.7104)
Dependencias.2419,"P.K. 50,707(FRONT)",C7730,022220095,K,EX,AM,,,,AV,904188.9115,4711140.1239,17,17,0,AM,K,EX,17,0,0,AV,022220095,"P.K. 50,707(FRONT)",0,POINT (904188.9115000004 4711140.1239)
Dependencias.2420,LIMITE ADIF - LFPSA,04313,120500300,K,EX,AM,170932,,17730,AV,988944.082,4699501.3611,1,17,3,AM,K,EX,17,170932,17730,AV,120500300,LIMITE ADIF - LFPSA,0,POINT (988944.0820000004 4699501.361099999)
Dependencias.2421,"FUENCARRAL-AGUJA KM 4,5",A1702,029020005,B,EX,AM,280796,,28034,AD,442138.8155,4484810.2374,1,28,3,AM,B,EX,28,280796,28034,AD,029020005,"FUENCARRAL-AGUJA KM 4,5",0,POINT (442138.81549999956 4484810.237400001)
Dependencias.2422,CASTELLBISBAL-AGUJAS LLOBREGAT,A7190,022380005,B,EX,AM,80543,,08755,AD,917217.6739,4600860.4462,5,8,4,AM,B,EX,8,80543,08755,AD,022380005,CASTELLBISBAL-AGUJAS LLOBREGAT,0,POINT (917217.6738999998 4600860.4462)
Dependencias.2423,"AGUJA KM. 4,014",A7222,022460010,F,FS,AT,80543,,08755,AD,916360.767,4600820.2378,5,8,1,AT,F,FS,8,80543,08755,AD,022460010,"AGUJA KM. 4,014",0,POINT (916360.767 4600820.2378)
Dependencias.2424,A CUQUERIA,05129,087400040,P,EX,AE,150256,,15530,AD,102780.0574,4840104.8356,16,15,0,AE,P,EX,15,150256,15530,AD,087400040,A CUQUERIA,0,POINT (102780.05740000028 4840104.8356)
Dependencias.2425,ABOÑO APD,05207,087500045,P,EX,AE,330143,,33430,AD,280018.2626,4826063.7305,16,33,0,AE,P,EX,33,330143,33430,AD,087500045,ABOÑO APD,0,POINT (280018.2626 4826063.7305)
Dependencias.2426,ABREVADERO,05957,083600010,E,EX,AE,300161,,30202,AD,682549.612,4164520.8978,16,30,0,AE,E,EX,30,300161,30202,AD,083600010,ABREVADERO,0,POINT (682549.6119999997 4164520.8978000004)
Dependencias.2427,ACES,05320,087620010,P,EX,AE,330100,,33829,AD,251895.5282,4814225.4739,16,33,0,AE,P,EX,33,330100,33829,AD,087620010,ACES,0,POINT (251895.5281999996 4814225.4739)
